Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
44 - Grand Est	88 - Vosges	1 - Épinal	218801603 - Épinal	258801414	SI scolaire d'Epinal	SIVU	0	0	1973-02-20	1973-02-20	POPUL		10	43862	1	CBUDG	0	0	0		0		Mme	Marie-Christine	SERIEYS	Mairie			88000 Epinal	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218801967 - Gérardmer	258801505	SI d'énergie des Lacs	SIVU	0	0	1982-06-10	1982-06-10	POPUL		2	9973	2	CBUDG	0	0	0	 	0	 	M.	Jean-Luc	PERROT	Mairie			88400 GERARDMER	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218800787 - Bruyères	258801604	SI de l'hospice de Bruyères	SIVU	0	0	1984-04-25	1984-04-25	POPUL		46	21869	1	CBUDG	0	0	0		0		M.	Gilles	CHABRIER		2 Bis Rue Louis Marin		88600 Bruyères	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218801041 - Circourt-sur-Mouzon	258801695	SI pour la construction des vestiaires du terrain de sports	SIVU	0	0	1984-04-24	1984-04-24	POPUL		6	1271	1	CBUDG	0	0	0		0		Mme	Rose-Marie	BOGARD	Mairie			88300 Circourt-sur-Mouzon	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218801231 - Damblain	258801760	SI des eaux de Damblain et du Creuchot	SIVU	0	0	1984-07-09	1984-07-09	POPUL		5	624	1	CBUDG	0	0	0		0		M.	Bernard	MUNIERE	Mairie			88320 Damblain	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218805034 - Vexaincourt	258801893	SI scolaire de la Haute Vallée de la Plaine	SIVU	0	1	1986-08-25	1986-08-25	POPUL		6	774	1	CBUDG	0	0	0	 	0	 	Mme	Anne-Sophie	MOUCHIROUD		3 Rue de la Malgrange		88110 VEXAINCOURT	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218802767 - Lusse	258801950	SI des écoles de Lusse	SIVU	0	0	1987-11-26	1987-11-26	POPUL		5	965	2	CBUDG	0	0	0	 	0	 	M.	Gérard	ROUDOT	Mairie			88490 LUSSE	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218800571 - Le Beulay	258802123	Syndicat de la gendarmerie de Provenchères-sur-Fave	SIVU	0	0	1989-12-21	1989-12-21	POPUL		10	3174	1	CBUDG	0	0	0	 	0	 	M.	Claude	MAURICE	Mairie			88490 LE BEULAY	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218803419 - Pair-et-Grandrupt	258802206	SI pour la gestion du RPI de Nayemont-les-Fosses, Pair-et-Grandrupt	SIVU	0	0	1990-07-09	1990-07-09	POPUL		2	1320	2	CBUDG	0	0	0		0		Mme	annabelle	SOUDIERE	Mairie			88100 Pair-et-Grandrupt	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218805166 - Vittel	258802248	SI de gestion des services d'incendie et de secours de l'agglomération Vittel-Contrexéville	SIVU	0	0	1990-10-04	1990-10-04	POPUL		16	12133	1	CBUDG	0	0	0	 	0	 	M.	Franck	PERRY	Centre de secours			88800 VITTEL	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218801165 - Cornimont	258802263	SI d'assainissement des eaux usées	SIVU	0	0	1990-12-24	1990-12-24	POPUL		2	7292	2	CBUDG	0	0	0		0		M.	Raymond	MARCHAL		24 Rue de la 3ème DIA		88310 CORNIMONT	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218802668 - Lépanges-sur-Vologne	258802289	SIRP de Lépanges, Deycimont, Prey	SIVU	0	0	1991-02-07	1991-02-07	POPUL		3	1260	1	CBUDG	0	0	0		0		Mme	Virginie	GREMILLET	Mairie			88600 Lépanges-sur-Vologne	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218801140 - Contrexéville	258802362	SI pour la création et la gestion d'une station d'épuration de l'agglomération Vittel Contrexéville	SIVU	0	0	1991-04-09	1991-04-09	POPUL		6	9624	1	CBUDG	0	0	0		0		M.	Luc	GERECKE	Mairie			88140 Contrexéville	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	200069326 - La Vôge-les-Bains	258802446	SIVOS de Bains-les-Bains	SIVU	0	0	1991-11-25	1991-11-25	POPUL		5	2796	2	CBUDG	0	0	0		0		M.	Frédéric	DREVET	Mairie			88240 BAINS-LES-BAINS	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218801686 - Fauconcourt	258802487	Syndicat scolaire "Nos Petits Villages"	SIVU	0	0	1992-02-17	1992-02-17	POPUL		8	1085	2	CBUDG	0	0	0		0		M.	Thierry	DURUPT	Mairie			88700 Fauconcourt	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218804649 - Tendon	258802651	SI de distribution d'eau des communes de Faucompierre Tendon Xamontarupt	SIVU	0	0	1993-05-18	1993-05-18	POPUL		3	900	1	CBUDG	0	0	0		0		Mme	Frédérique	MOULIN	Mairie			88460 TENDON	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218803864 - Remomeix	258802701	SI pour la gestion du RPI de Remomeix, Coinches	SIVU	0	0	1993-07-29	1993-07-29	POPUL		2	796	1	CBUDG	0	0	0		0		M.	Hubert	RINGOT	Mairie			88100 Remomeix	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218800902 - Charmes	258802883	Syndicat pour la reconstruction d'un centre d'incendie et de secours du pays de Charmes	SIVU	0	1	1993-10-18	1993-10-18	MEMNB		27	12913	1	CBUFI	0	0	0	 	0	 	M.	Claude	CROSTA	Caserne des Sapeurs-Pompiers - La Voivre			88130 CHARMES	    	    						 	    	    	
